ScientificName,Latitude,Longitude,YearCollected,MonthCollected,DayCollected
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Oreochromis niloticus x Oreochromis aureus,29.67749,-95.476652,2017,10,28
Oreochromis niloticus,0.054167,34.162222,,,
Oreochromis niloticus,0.054167,34.162222,,,
Oreochromis niloticus,-0.399469,34.154654,,,
Oreochromis niloticus,0.054167,34.162222,,,
Oreochromis niloticus,0.054167,34.162222,,,
Oreochromis niloticus,18.1333332,-96.3666687,1990,3,25
Oreochromis niloticus,18.1333332,-96.3666687,1990,3,25
Oreochromis niloticus,18.1333332,-96.3666687,1990,3,26
Oreochromis niloticus niloticus,31.25,130.6397222,,,
Oreochromis niloticus niloticus,31.25,130.6397222,,,
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.01,128.26,2017,6,30
Oreochromis niloticus,27.04555556,128.415,2017,6,30
Oreochromis niloticus,27.04555556,128.415,2017,6,30
Oreochromis niloticus,27.04555556,128.415,2017,6,30
Oreochromis niloticus,27.04555556,128.415,2017,6,30
Oreochromis niloticus,27.04555556,128.415,2017,6,30
Tilapia nilotica,,,1880,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Tilapia nilotica,,,,,
Oreochromis niloticus,,,2001,1,14
Oreochromis niloticus,,,2001,1,15
Oreochromis niloticus,,,1990,8,17
Oreochromis niloticus,,,1990,8,20
Oreochromis niloticus,,,1990,8,20
Oreochromis niloticus,,,1990,8,27
Oreochromis niloticus,,,1990,9,7
Oreochromis niloticus,,,1990,9,7
Oreochromis niloticus,32.65583,-85.49194,1975,7,21
Oreochromis niloticus,,,1990,8,17
Oreochromis niloticus,,,1990,8,17
Oreochromis niloticus,,,1990,8,20
Oreochromis niloticus,,,1990,8,20
Oreochromis niloticus,17.7727776,-93.9486084,1998,1,21
Oreochromis niloticus,,,2000,8,29
Oreochromis niloticus,,,2000,8,29
Oreochromis niloticus,,,2000,8,31
Oreochromis niloticus,,,2000,8,31
Oreochromis niloticus,,,2000,8,31
Oreochromis niloticus,,,2000,8,29
Oreochromis niloticus,,116.34,2008,9,23
Oreochromis niloticus,41.98372,-87.70717,2013,10,30
Oreochromis niloticus,18.1333332,-96.3666687,1993,1,22
Oreochromis niloticus,18.1333332,-96.3666687,1993,10,0
Oreochromis niloticus,18.1333332,-96.3666687,1994,6,0
Oreochromis niloticus,,,,,
Oreochromis niloticus,5.83,101.08,1991,2,27
Oreochromis niloticus,,,1992,,
Oreochromis niloticus,,,1992,,
Oreochromis niloticus,,,1993,9,30
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus niloticus,,,,,
Oreochromis niloticus niloticus,,,,,
Oreochromis niloticus,,,1995,5,31
Oreochromis niloticus,,,1994,11,11
Oreochromis niloticus,16.7018333,-99.6427,2003,5,7
Oreochromis niloticus,16.6091333,-99.7274667,2003,6,26
Oreochromis niloticus,16.7018333,-99.6427,2003,6,26
Oreochromis niloticus,,,2010,10,18
Oreochromis niloticus,,,1895,5,30
Oreochromis niloticus,,,1894,12,30
Oreochromis niloticus,,,1895,8,22
Oreochromis niloticus,,,1894,12,8
Oreochromis niloticus,,,2002,8,
Oreochromis niloticus,9.614527778,-82.86280556,2011,2,22
Oreochromis niloticus,41.8263889,-87.7233333,2004,12,7
Oreochromis niloticus,41.8263889,-87.7233333,2004,8,4
Oreochromis niloticus,,,2010,11,26
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
