dwc:basisOfRecord,idigbio:eventDate,idigbio:dataQualityScore,idigbio:flags,idigbio:geoPoint,dwc:scientificName
preservedspecimen,1981-10-22T00:00:00+00:00,0.188405797,"[""geopoint_datum_missing"", ""scientificname_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_originalnameusageid_added"", ""dwc_kingdom_added""]","{""lat"": 30.025408, ""lon"": 31.220335}",oreochromis niloticus
preservedspecimen,2001-05-24T00:00:00+00:00,0.231884058,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_kingdom_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_specificepithet_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]","{""lat"": 30.376814, ""lon"": -88.747528}",oreochromis niloticus
preservedspecimen,2001-05-02T00:00:00+00:00,0.231884058,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_kingdom_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_specificepithet_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]","{""lat"": 30.512393, ""lon"": -88.551052}",oreochromis niloticus
preservedspecimen,2002-01-30T00:00:00+00:00,0.231884058,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_kingdom_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_specificepithet_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]","{""lat"": 30.512393, ""lon"": -88.551052}",oreochromis niloticus
preservedspecimen,2002-03-28T00:00:00+00:00,0.231884058,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_kingdom_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_specificepithet_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]","{""lat"": 30.581511, ""lon"": -88.531752}",oreochromis niloticus
preservedspecimen,2009-04-08T00:00:00+00:00,0.347826087,"[""geopoint_datum_missing"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_replaced"", ""dwc_datasetid_replaced"", ""dwc_order_replaced"", ""dwc_taxonid_replaced"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_originalnameusageid_added"", ""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""dwc_class_replaced"", ""dwc_parentnameusageid_added""]","{""lat"": 17.0636111, ""lon"": -93.8252778}",oreochromis niloticus
preservedspecimen,2009-05-02T00:00:00+00:00,0.347826087,"[""geopoint_datum_missing"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_replaced"", ""dwc_datasetid_replaced"", ""dwc_order_replaced"", ""dwc_taxonid_replaced"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_originalnameusageid_added"", ""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""dwc_class_replaced"", ""dwc_parentnameusageid_added""]","{""lat"": 17.0308333, ""lon"": -93.2072222}",oreochromis niloticus
preservedspecimen,2009-09-02T00:00:00+00:00,0.347826087,"[""geopoint_datum_missing"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_replaced"", ""dwc_datasetid_replaced"", ""dwc_order_replaced"", ""dwc_taxonid_replaced"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_originalnameusageid_added"", ""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""dwc_class_replaced"", ""dwc_parentnameusageid_added""]","{""lat"": 17.0580556, ""lon"": -93.4661111}",oreochromis niloticus
preservedspecimen,2023-04-16T00:00:00+00:00,0.260869565,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_parentnameusageid_added""]","{""lat"": -20.737778, ""lon"": -41.091667}",oreochromis niloticus
preservedspecimen,2014-02-01T00:00:00+00:00,0.260869565,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_parentnameusageid_added""]","{""lat"": -14.093056, ""lon"": -41.5325}",oreochromis niloticus
